Palavra,Concretude,Valência,Alerta,Tamanho,set
Trigo,6.2,5.34,3.6,5,A
Bonito,3.59,7.85,4.58,6,A
Comércio,5.38,5.49,5.33,8,A
Tarde,3.8,5.08,3.98,5,A
Passada,2.62,4.65,4.47,7,A
Furar,4.49,4.04,5.17,5,A
Ladrão,5.49,1.61,8.05,6,A
Estofado,6.26,6.03,3.52,8,A
Fundo,3.66,4.38,5.83,5,A
Calor,4.03,5.25,5.51,5,A
Ritmo,3.17,6.56,4.48,5,A
Salada,6.29,6.72,3.7,6,A
Pico,4.58,5.39,5.59,4,A
Base,3.81,5.88,4.35,4,A
Poder,2.27,6.29,5.99,5,A
Básico,2.26,5.26,3.98,6,A
Barba,6.4,4.46,4.98,5,A
Ausência,2.31,2.39,6.77,8,A
Claridade,4.67,6.16,4.2,9,A
Funeral,4.78,2.0,7.23,7,A
Mar,6.63,7.94,3.13,3,A
Doce,4.83,7.57,3.11,4,A
Tortura,3.32,1.62,7.88,7,A
Benfeitor,3.0,7.0,3.34,9,A
Comunicação,3.39,7.28,4.79,11,A
Continuação,2.47,5.63,4.65,11,A
Dono,3.38,4.51,5.53,4,A
Tirânico,3.27,2.85,7.05,8,A
Automóvel,6.69,7.08,4.82,9,A
Fim,2.54,4.07,5.46,3,A
Cachoeira,6.45,7.46,2.94,9,A
Imbecil,2.3,2.59,6.41,7,A
Paladar,3.4,7.13,4.29,7,A
Cama,6.84,7.84,2.68,4,A
Sepultar,4.35,1.96,7.36,8,A
Pele,5.79,6.62,4.49,4,A
Gentileza,3.15,8.08,2.52,9,A
Abominável,2.53,2.43,7.03,10,A
Patas,6.24,5.28,4.25,5,A
Loucura,2.47,4.48,6.9,7,A
Grade,6.28,3.78,5.9,5,A
Deformidade,3.71,2.43,6.48,11,A
Metrópole,5.0,4.65,6.25,9,A
Erro,2.87,2.65,7.41,4,A
Vaca,6.8,5.51,4.33,4,A
Bocejo,5.15,6.03,2.84,6,A
Viagem,4.62,8.24,3.28,6,A
Chocolate,6.61,7.7,2.92,9,A
Insegurança,2.16,1.89,6.97,11,A
Status,2.91,5.47,5.42,6,A
Homicídio,4.08,1.7,7.82,9,B
Agasalho,6.55,6.96,3.21,8,B
Desejo,2.59,7.48,5.75,6,B
Elogio,2.35,8.04,3.58,6,B
Gordura,4.75,3.09,6.59,7,B
Amargura,2.41,1.96,5.8,8,B
Ordem,2.35,5.79,5.3,5,B
Rodoviária,6.29,3.52,6.57,10,B
Sorriso,5.02,8.14,2.65,7,B
Beijo,6.02,8.4,3.56,5,B
Injeção,6.33,3.27,6.72,7,B
Anormal,2.75,3.71,6.15,7,B
Xingação,2.42,2.6,6.94,8,B
Nuvens,5.84,6.73,2.98,6,B
Metal,5.57,5.04,4.96,5,B
Mulher,6.3,6.84,4.97,6,B
Compreensão,2.2,7.78,3.43,11,B
Aranha,6.77,3.15,6.04,6,B
Abertura,3.21,5.68,3.97,8,B
Orgulho,2.44,4.98,5.24,7,B
Superfície,4.78,5.15,3.95,10,B
Gravador,6.37,4.67,4.78,8,B
Cheirar,4.06,6.22,4.02,7,B
Diabetes,3.52,2.24,6.91,8,B
Asfalto,6.41,5.35,5.23,7,B
Belo,2.29,7.58,3.12,4,B
Corpo,6.34,6.72,4.9,5,B
Forçado,2.37,2.55,6.76,7,B
Grama,6.55,5.79,3.07,5,B
Aspirar,3.23,6.5,4.08,7,B
Inseto,5.78,3.32,5.86,6,B
Caça,3.81,3.91,5.98,4,B
Adultério,3.63,2.2,7.52,9,B
Gosma,5.23,2.65,5.95,5,B
Podre,3.48,2.22,6.79,5,B
Madura,3.71,6.28,4.47,6,B
Delícia,2.95,8.34,3.31,7,B
Aula,4.19,5.68,5.5,4,B
Nação,3.53,6.31,5.18,5,B
Pêssego,6.47,6.29,3.37,7,B
Marca,3.62,5.37,3.86,5,B
Agressão,3.14,1.73,7.93,8,B
Crime,3.56,1.76,8.01,5,B
Flor,6.69,7.1,2.52,4,B
Som,3.39,7.15,5.13,3,B
Consciência,1.61,7.19,4.48,11,B
Macio,3.96,6.73,2.32,5,B
Carta,6.19,6.6,3.59,5,B
Corrigir,3.3,4.48,5.31,8,B
Zorra,3.57,4.96,6.12,5,B
