Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Russa,3.58,5.38,5.14,5,1
Juventude,2.94,7.18,4.07,9,1
Polícia,5.94,4.35,6.38,7,1
Francês,3.74,5.04,4.72,7,1
Maçã,6.84,6.49,3.62,4,1
Visão,4.44,7.17,4.26,5,1
Girafa,6.78,5.46,3.88,6,1
Remorso,2.03,2.5,7.33,7,1
Tesão,3.11,7.75,6.23,5,1
Peixe,6.76,5.99,4.07,5,1
Zombador,3.07,3.12,6.46,8,1
Leveza,2.44,6.99,2.08,6,1
Colchão,6.69,6.98,2.36,7,1
Seringa,6.83,3.17,5.83,7,1
Pobreza,4.35,2.22,7.09,7,1
Chá,6.05,6.26,3.32,3,1
Status,2.91,5.47,5.42,6,1
Mágoa,2.5,2.03,6.9,5,1
Fermento,6.05,4.96,4.9,8,1
Vendedor,5.66,4.41,5.76,8,1
Leão,6.65,5.03,6.5,4,2
Camisa,6.73,5.65,3.72,6,2
Sanduíche,6.54,7.3,4.07,9,2
Caminhar,4.5,6.5,3.18,8,2
Tricô,5.77,5.15,3.22,5,2
Almofada,6.52,6.54,2.5,8,2
Raiva,2.72,2.46,7.65,5,2
Militar,5.67,4.65,6.2,7,2
Hino,4.3,5.74,4.29,4,2
Esperto,2.83,6.93,5.48,7,2
Lerdo,2.72,2.9,6.23,5,2
Cidade,6.15,5.73,4.93,6,2
Vingança,2.56,2.54,7.41,8,2
Atitude,2.68,7.27,5.29,7,2
Chuchu,6.74,4.8,3.94,6,2
Horizonte,3.81,7.23,2.3,9,2
Triste,2.49,2.51,6.07,6,2
Mãe,5.95,8.35,2.72,3,2
Imoral,2.19,3.03,6.8,6,2
Multidão,5.23,4.21,6.99,8,2
