Palavra,Concretude,Valência,Alerta,Tamanho
Abacaxi,6.66,6.44,3.56,7
Abençoar,2.24,7.82,3.12,8
Abertura,3.21,5.68,3.97,8
Abóbora,6.55,5.52,4.25,7
Abominável,2.53,2.43,7.03,10
Aborto,4.53,2.28,7.73,6
Abraço,4.41,8.13,2.87,6
Acalento,1.89,6.34,3.14,8
Acalmar,2.66,7.48,2.54,7
Acariciar,4.24,7.95,2.81,9
Aceitação,2.32,6.79,4.28,9
Acerola,6.81,6.25,3.6,7
Acidente,4.39,2.01,8.07,8
Acompanhado,3.79,7.24,4.18,11
Aconchego,2.94,8.27,1.93,9
Acordar,4.31,4.55,4.47,7
Açúcar,6.41,6.56,3.68,6
Acusação,2.86,2.12,7.86,8
Acusar,2.89,2.65,7.23,6
Admirável,2.42,7.72,3.28,9
Adoecer,3.69,2.16,7.17,7
Adultério,3.63,2.2,7.52,9
Advogado,5.94,4.67,5.68,8
Afeto,2.24,7.96,2.77,5
Afetuoso,2.52,7.81,3.46,8
Agasalho,6.55,6.96,3.21,8
Agito,2.76,6.25,5.82,5
Agonia,2.42,1.89,7.66,6
Agradável,2.47,8.14,2.33,9
Agressão,3.14,1.73,7.93,8
Água,6.42,8.18,3.26,4
Agulha,6.77,4.08,6.18,6
Aids,4.72,1.87,7.74,4
Alegria,2.44,8.28,3.13,7
Algodão,6.64,5.91,3.3,7
Alguém,3.23,6.82,4.25,6
Alienado,2.71,2.97,6.42,8
Alimento,5.66,7.6,3.57,8
Alívio,2.86,7.94,2.17,6
Almofada,6.52,6.54,2.5,8
Alpinismo,4.92,5.63,5.67,9
Alto,4.29,5.77,5.15,4
Alucinação,2.45,4,6.68,10
Amar,2.56,8.08,3.74,4
Amarelo,5.23,5.7,4.59,7
Amargura,2.41,1.96,5.8,8
Amigo,3.99,8.3,2.58,5
Amizade,2.44,8.17,3.03,7
Amor,2.23,8.25,3.31,4
Analgésico,4.75,4.99,3.22,10
Andar,4.64,6.12,2.49,5
Angelical,2.44,7.06,7.28,9
Angústia,2.15,2.24,4.42,8
Animação,3.17,7.89,4.72,8
Anormal,2.75,3.71,6.15,7
Ansiedade,2.42,2.88,7,9
Apagar,3.77,3.93,4.73,6
Apoio,2.52,7.62,2.81,5
Ar,3.75,7.52,3.14,2
Aranha,6.77,3.15,6.04,6
Ardente,2.86,5.86,6.2,7
Areia,6.25,5.46,3.14,5
Armas,6.42,2.26,7.71,5
Aroma,2.79,7.26,3.37,5
Arquiteto,5.33,5.43,4.33,9
Arrependimento,1.95,3.96,6.47,14
Arrepio,4.1,5.52,5.6,7
Artista,4.54,6.57,3.67,7
Árvore,6.59,6.73,2.91,6
Asa,5.93,6.27,3.57,3
Asfalto,6.41,5.35,5.23,7
Áspero,4.64,3.4,5.8,6
Aspirar,3.23,6.5,4.08,7
Asquerosa,2.63,3.09,6.01,9
Assalto,4.25,1.8,7.86,7
Assinatura,5.61,5.65,5.02,10
Atenção,2.69,5.44,5.85,7
Atitude,2.68,7.27,5.29,7
Atraso,2.6,3.15,6.96,6
Atrito,3.69,3.7,6.08,6
Aula,4.19,5.68,5.5,4
Ausência,2.31,2.39,6.77,8
Automóvel,6.69,7.08,4.82,9
Autoridade,3.36,4.54,6.57,10
Aventura,2.18,8.02,5.54,8
Azul,4.35,6.88,3.09,4
Baderna,3.45,3.43,6.48,7
Baixo,3.59,4.51,3.74,5
Bala,6.11,4.86,4.42,4
Balanço,4.42,6.14,3.81,7
Baleia,6.55,5.76,4.66,6
Banana,6.75,5.91,4.03,6
Banco,6.19,5.18,5.31,5
Bandeira,6.42,5.53,4.21,8
Bandido,4.6,2.51,7.75,7
Banho,5.15,7.95,2.72,5
Barba,6.4,4.46,4.98,5
Barco,6.43,6.07,3.73,5
Barrento,4.44,3.42,5.33,8
Barulho,4.56,3.04,6.7,7
Base,3.81,5.88,4.35,4
Básico,2.26,5.26,3.98,6
Batalha,3.89,3.97,6.97,7
Beatitude,2.06,4.86,4.46,9
Beber,5.25,5.68,4.4,5
Beijo,6.02,8.4,3.56,5
Beleza,2.94,7.71,3.96,6
Bélico,3.47,3.61,6.24,6
Belo,2.29,7.58,3.12,4
Bem-estar,2.68,8.13,2.22,9
Benção,2.94,7.48,2.67,6
Benfeitor,3,7,3.34,9
Beterraba,6.76,5.26,4.08,9
Bíblia,6.5,6.57,4.16,6
Bicho,5.28,5.53,4.71,5
Blusa,6.73,5.9,4.03,5
Bocejo,5.15,6.03,2.84,6
Bolo,6.65,7.32,3.88,4
Bolso,5.95,5.46,4.57,5
Bom,2.32,7.6,2.74,3
Bondade,2.25,8.08,2.55,7
Boneca,6.55,5.63,3.76,6
Bonita,4.15,7.78,3.36,6
Bonito,3.59,7.85,4.58,6
Borboleta,6.71,6.82,3.42,9
Bordar,5.25,5.43,4.19,6
Borracha,6.42,5.08,4.17,8
Borrar,3.83,3.82,4.99,6
Botão,6.26,5.25,3.79,5
Branco,5.02,6.39,3.23,6
Bravo,3.1,3.17,6.97,5
Briga,4.88,2.27,8.15,5
Brilhante,3.99,7.34,3.74,9
Brincadeira,3.47,7.65,2.83,11
Brinco,6.51,6.04,3.74,6
Bule,6.68,5.14,4.27,4
Cabeça,6.72,6,5.14,6
Cabelo,6.56,6.43,4.23,6
Cabra,6.44,4.29,4.42,5
Caça,3.81,3.91,5.98,4
Cachoeira,6.45,7.46,2.94,9
Cachorro,6.62,6.32,4.61,8
Cadáver,6.11,2.44,6.7,7
Cadeado,6.41,3.89,5.22,7
Cadeia,5.94,2.21,7.08,6
Cadeira,6.93,5.42,3.68,7
Caderno,6.75,5.44,4.53,7
Café,6.29,5.5,4.92,4
Caixão,6.43,2.24,7.38,6
Caju,6.65,5.95,3.45,4
Calça,6.57,5.83,3.47,5
Calçado,6.03,6.21,4.02,7
Calcanhar,6.35,4.78,4.44,9
Calma,2.37,7.5,2.28,5
Calo,5.95,2.91,6.04,4
Calor,4.03,5.25,5.51,5
Calúnia,2.28,1.98,7.66,7
