Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Carro,6.85,7.18,4.5,5,1
Futebol,5.59,5.45,4.89,7,1
Justiça,2.61,7.35,5.47,7,1
Natureza,4.06,7.91,2.56,8,1
Prazer,3.02,8.19,4.02,6,1
Anormal,2.75,3.71,6.15,7,1
Diabetes,3.52,2.24,6.91,8,1
Muro,6.53,4.11,4.52,4,1
Dentista,6.06,4.31,5.97,8,1
Irritação,2.86,2.0,7.0,9,1
Curta,2.96,4.66,4.15,5,2
Infidelidade,2.98,2.31,7.23,12,2
Pó,5.61,3.66,5.49,2,2
Sossego,2.32,7.85,1.75,7,2
Brinco,6.51,6.04,3.74,6,2
Desenho,4.83,7.12,3.66,7,2
Pele,5.79,6.62,4.49,4,2
Temperatura,3.73,5.53,5.23,11,2
Madura,3.71,6.28,4.47,6,2
Metal,5.57,5.04,4.96,5,2
Asfalto,6.41,5.35,5.23,7,2
Fuzilar,4.23,2.21,7.81,7,2
Fincar,4.25,4.26,5.55,6,2
Nação,3.53,6.31,5.18,5,2
Alpinismo,4.92,5.63,5.67,9,2
Chute,5.18,3.77,5.66,5,2
Independência,2.53,8.11,5.04,13,2
Sofrimento,2.48,2.05,6.2,10,2
Nuvens,5.84,6.73,2.98,6,2
Dança,5.32,6.9,4.45,5,2
Ladrão,5.49,1.61,8.05,6,3
Harmonia,1.96,8.01,2.27,8,3
Paparicar,2.72,6.43,3.86,9,3
Infância,4.15,7.26,3.17,8,3
Sombra,3.76,6.19,4.03,6,3
Tubarão,6.76,3.46,7.08,7,3
Problema,2.83,2.21,7.4,8,3
Cochilar,4.38,7.71,2.19,8,3
Baleia,6.55,5.76,4.66,6,3
Desespero,2.44,2.12,7.38,9,3
Elevado,2.79,6.15,5.08,7,3
Angelical,2.44,7.06,7.28,9,3
Massa,5.01,6.46,4.3,5,3
Zombador,3.07,3.12,6.46,8,3
Loucura,2.47,4.48,6.9,7,3
Gasolina,6.42,4.86,5.75,8,3
Algodão,6.64,5.91,3.3,7,3
Caju,6.65,5.95,3.45,4,3
Caneta,6.72,5.41,4.04,6,3
Mentira,2.76,2.01,7.5,7,3
Desconhecido,2.31,4.47,5.83,12,3
Brilhante,3.99,7.34,3.74,9,3
Lento,2.95,3.37,4.28,5,3
Pânico,2.33,2.42,7.7,6,3
Máquina,5.44,5.63,5.21,7,3
Shopping,5.93,6.21,3.47,8,3
Baixo,3.59,4.51,3.74,5,3
Descansar,4.02,8.08,1.94,9,3
Macio,3.96,6.73,2.32,5,3
Isqueiro,6.52,3.88,4.98,8,3
Paladar,3.4,7.13,4.29,7,4
Palácio,5.75,7.02,3.4,7,4
Maravilhosa,2.28,7.83,3.21,11,4
Susto,3.24,3.18,7.07,5,4
Bélico,3.47,3.61,6.24,6,4
Preconceito,1.97,2.31,7.03,11,4
Rancor,1.98,2.34,6.5,6,4
Calçado,6.03,6.21,4.02,7,4
Silêncio,3.2,4.76,2.72,8,4
Ponte,6.47,5.33,4.63,5,4
Fuga,3.92,4.53,6.85,4,4
Cuidado,2.33,6.33,6.7,7,4
Ansiedade,2.42,2.88,7.0,9,4
Gordo,5.65,2.86,5.83,5,4
Cachoeira,6.45,7.46,2.94,9,4
Amargura,2.41,1.96,5.8,8,4
Vício,3.19,2.34,7.08,5,4
Laranja,6.47,6.39,4.64,7,4
Inteligente,2.51,7.83,4.15,11,4
Caixão,6.43,2.24,7.38,6,4
Pesadelo,2.84,1.93,7.8,8,4
Empresário,5.46,5.94,4.77,10,4
Quebrada,3.1,2.9,5.62,8,4
Fim,2.54,4.07,5.46,3,4
Músculos,6.23,6.7,4.69,8,4
Borboleta,6.71,6.82,3.42,9,4
Palheiro,5.57,4.86,4.03,8,4
Uva,6.78,6.55,3.29,3,4
Riscar,4.38,4.72,4.96,6,4
Gola,6.39,4.55,3.79,4,4
Defeito,2.69,3.04,6.11,7,4
Coroa,6.18,6.22,4.22,5,4
Edredom,6.54,7.4,2.54,7,4
Liberdade,2.34,7.92,4.34,9,4
Beterraba,6.76,5.26,4.08,9,4
Tragar,3.79,2.65,5.4,6,4
Formado,2.9,7.42,4.01,7,4
Cárie,5.86,2.21,7.0,5,4
Bonito,3.59,7.85,4.58,6,4
Escalada,4.21,5.92,5.28,8,4
