Palavra,Concretude,Valência,Alerta,Tamanho,conjunto
Céu,5.18,7.87,2.98,3,1
Caju,6.65,5.95,3.45,4,1
Escuro,3.75,4.83,5.25,6,1
Acariciar,4.24,7.95,2.81,9,1
Defender,3.03,6.46,5.83,8,1
Esquecida,2.65,3.39,5.61,9,1
Locomoção,3.91,6.21,4.92,9,1
Arquiteto,5.33,5.43,4.33,9,1
Encosto,4.19,3.95,5.17,7,1
Costura,4.73,4.91,4.54,7,1
Açúcar,6.41,6.56,3.68,6,1
Porco,6.7,3.7,4.98,5,1
Reciclagem,3.95,6.92,4.0,10,1
Formado,2.9,7.42,4.01,7,1
Militar,5.67,4.65,6.2,7,1
Pires,6.36,5.12,4.38,5,1
Aborto,4.53,2.28,7.73,6,1
Admirável,2.42,7.72,3.28,9,1
Picada,5.3,2.55,6.88,6,1
Momento,2.13,6.2,3.98,7,1
Descontrole,2.35,2.86,6.94,11,1
Caixão,6.43,2.24,7.38,6,1
Agonia,2.42,1.89,7.66,6,1
Inocência,2.17,5.97,3.38,9,1
Chuchu,6.74,4.8,3.94,6,1
Espirro,5.19,4.68,4.75,7,1
Obstáculo,3.59,4.15,6.35,9,1
Rainha,5.46,5.93,4.23,6,1
Areia,6.25,5.46,3.14,5,1
Meia,6.18,5.8,3.49,4,1
Chute,5.18,3.77,5.66,5,1
Cega,3.68,2.54,6.25,4,1
Belo,2.29,7.58,3.12,4,1
Caminhar,4.5,6.5,3.18,8,1
Transar,5.18,7.76,5.01,7,1
Moradia,4.83,7.63,3.51,7,1
Ira,2.71,2.51,7.79,3,1
Decepar,5.04,2.33,7.78,7,1
Segurança,3.05,7.22,4.14,9,1
Sexo,4.77,7.83,5.78,4,1
Bondade,2.25,8.08,2.55,7,2
Macio,3.96,6.73,2.32,5,2
Conseguir,2.72,8.17,4.0,9,2
Crime,3.56,1.76,8.01,5,2
Corpo,6.34,6.72,4.9,5,2
Barrento,4.44,3.42,5.33,8,2
Peso,3.85,4.17,6.35,4,2
Abertura,3.21,5.68,3.97,8,2
Agressão,3.14,1.73,7.93,8,2
Gosma,5.23,2.65,5.95,5,2
Analgésico,4.75,4.99,3.22,10,2
Perda,2.57,2.11,7.32,5,2
Simpatia,2.45,7.88,3.33,8,2
Decepção,2.63,1.94,6.97,8,2
Comunicação,3.39,7.28,4.79,11,2
Água,6.42,8.18,3.26,4,2
Comida,6.59,7.99,3.85,6,2
Moto,6.66,4.91,5.56,4,2
Briga,4.88,2.27,8.15,5,2
Trânsito,4.94,3.25,6.61,8,2
Remédio,5.86,4.01,6.24,7,2
Banho,5.15,7.95,2.72,5,2
Asa,5.93,6.27,3.57,3,2
Chapéu,6.76,5.31,4.5,6,2
Riqueza,3.35,7.57,4.69,7,2
Cortina,6.3,5.22,2.98,7,2
Árvore,6.59,6.73,2.91,6,2
Namorado,5.42,7.14,4.54,8,2
Delinquente,3.31,2.1,6.73,11,2
Polícia,5.94,4.35,6.38,7,2
Unha,6.65,5.44,4.53,4,2
Espetar,4.58,3.98,5.68,7,2
Pecado,2.29,3.36,6.41,6,2
Fundo,3.66,4.38,5.83,5,2
Neve,5.97,6.18,3.25,4,2
Afetuoso,2.52,7.81,3.46,8,2
Esquecimento,2.34,3.17,6.66,12,2
Império,4.21,4.82,4.84,7,2
Acalmar,2.66,7.48,2.54,7,2
Abacaxi,6.66,6.44,3.56,7,2
Paraíso,2.97,8.23,2.58,7,3
Rápido,3.08,5.8,5.5,6,3
Honra,2.15,7.71,4.12,5,3
Zoologico,6.32,6.32,3.55,9,3
Lagoa,6.42,7.3,2.93,5,3
Russa,3.58,5.38,5.14,5,3
Desconhecido,2.31,4.47,5.83,12,3
Erro,2.87,2.65,7.41,4,3
Sabedoria,2.33,8.27,3.76,9,3
Lanchonete,6.19,7.03,3.64,10,3
Nutritiva,3.51,7.12,3.2,9,3
Terra,5.94,6.13,4.28,5,3
Bandido,4.6,2.51,7.75,7,3
Melodia,3.48,7.77,2.61,7,3
Tinta,6.38,5.18,4.3,5,3
Carboidratos,3.8,5.82,4.83,12,3
Impiedade,2.44,1.96,7.41,9,3
Superior,2.73,5.96,5.51,8,3
Soberano,2.44,5.38,5.33,8,3
Morte,3.04,2.43,7.61,5,3
Motor,6.41,5.01,4.86,5,3
Lesma,6.61,3.34,4.17,5,3
Blusa,6.73,5.9,4.03,5,3
Maconha,5.86,3.03,6.31,7,3
Vulcão,6.07,4.17,6.68,6,3
Gripe,3.86,2.49,6.14,5,3
Fofoca,3.06,2.5,6.31,6,3
Transporte,5.01,5.19,5.25,10,3
Calçado,6.03,6.21,4.02,7,3
Caneta,6.72,5.41,4.04,6,3
Insuportável,2.13,2.08,7.57,12,3
Doce,4.83,7.57,3.11,4,3
Morango,6.63,7.3,2.77,7,3
Fermento,6.05,4.96,4.9,8,3
Uniforme,6.27,4.51,4.96,8,3
Letra,5.25,5.53,3.99,5,3
Roupa,6.33,6.58,4.22,5,3
Pular,4.93,6.31,5.39,5,3
Falador,3.59,4.93,5.09,7,3
Tomar,3.8,5.51,4.58,5,3
