Palavra,Concretude,Valência,Alerta,Tamanho,set
Gordo,5.65,2.86,5.83,5,A
Criminoso,4.74,2.15,7.81,9,A
Lanchonete,6.19,7.03,3.64,10,A
Autoridade,3.36,4.54,6.57,10,A
Habitante,5.43,5.34,4.41,9,A
Prova,5.51,4.23,7.39,5,A
Representação,2.24,5.39,5.09,13,A
Manga,6.23,6.33,3.87,5,A
Conseguir,2.72,8.17,4.0,9,A
Gol,5.35,6.56,5.04,3,A
Negro,5.12,5.75,3.57,5,A
Árvore,6.59,6.73,2.91,6,A
Calor,4.03,5.25,5.51,5,A
Repouso,3.27,7.94,1.97,7,A
Areia,6.25,5.46,3.14,5,A
Imoral,2.19,3.03,6.8,6,A
Completude,1.71,6.2,3.86,10,A
Discriminação,3.18,2.42,6.83,13,A
Bravo,3.1,3.17,6.97,5,A
Torta,6.1,7.35,3.26,5,A
Atenção,2.69,5.44,5.85,7,A
Ausência,2.31,2.39,6.77,8,A
Dança,5.32,6.9,4.45,5,A
Base,3.81,5.88,4.35,4,A
Edificante,2.68,6.14,4.14,10,A
Susto,3.24,3.18,7.07,5,A
Pássaros,6.34,7.28,2.88,8,A
Movimento,3.2,6.46,4.38,9,A
Fundo,3.66,4.38,5.83,5,A
Gosma,5.23,2.65,5.95,5,A
Cadeira,6.93,5.42,3.68,7,A
Celestial,2.06,7.34,3.07,9,A
Impotente,2.42,2.52,6.3,9,A
Desejo,2.59,7.48,5.75,6,A
Pecado,2.29,3.36,6.41,6,A
Momento,2.13,6.2,3.98,7,A
Alguém,3.23,6.82,4.25,6,A
Amizade,2.44,8.17,3.03,7,A
Pisar,4.56,4.98,5.11,5,A
Fincar,4.25,4.26,5.55,6,A
Artista,4.54,6.57,3.67,7,A
Tecido,5.87,5.51,3.87,6,A
Circo,6.15,6.22,3.83,5,A
Cobertor,6.86,7.5,2.36,8,A
Decepar,5.04,2.33,7.78,7,A
Brilhante,3.99,7.34,3.74,9,A
Orgânico,3.86,6.04,4.2,8,A
Ruim,2.53,2.2,6.7,4,A
Zorra,3.57,4.96,6.12,5,A
Moradia,4.83,7.63,3.51,7,A
Paparicar,2.72,6.43,3.86,9,B
Nascimento,3.67,7.45,4.43,10,B
Curtir,2.56,7.71,3.32,6,B
Morte,3.04,2.43,7.61,5,B
Colo,4.11,7.46,2.85,4,B
Remédio,5.86,4.01,6.24,7,B
Cabelo,6.56,6.43,4.23,6,B
Criança,6.57,7.03,3.81,7,B
Sossego,2.32,7.85,1.75,7,B
Abertura,3.21,5.68,3.97,8,B
Acalento,1.89,6.34,3.14,8,B
Sonolento,3.68,4.19,3.97,9,B
Som,3.39,7.15,5.13,3,B
Nervosismo,2.57,2.08,7.44,10,B
Abóbora,6.55,5.52,4.25,7,B
Leão,6.65,5.03,6.5,4,B
Sangue,6.1,4.47,5.36,6,B
Serenidade,1.92,7.48,2.61,10,B
Horrível,2.55,2.17,7.06,8,B
Fogão,6.65,5.43,4.86,5,B
Pátria,3.12,6.87,4.38,6,B
Líder,4.02,6.5,5.48,5,B
Catástrofe,4.18,1.76,7.91,10,B
Veneno,5.01,2.59,7.39,6,B
Caneta,6.72,5.41,4.04,6,B
Objetivo,2.7,7.56,5.65,8,B
Liberdade,2.34,7.92,4.34,9,B
Baleia,6.55,5.76,4.66,6,B
Vingança,2.56,2.54,7.41,8,B
Bem-estar,2.68,8.13,2.22,9,B
Andar,4.64,6.12,2.49,5,B
Paixão,2.5,7.87,4.98,6,B
Objeto,6.11,5.35,4.45,6,B
Masculino,4.33,5.58,4.34,9,B
Lerdo,2.72,2.9,6.23,5,B
Suco,6.34,6.8,2.41,4,B
Correnteza,5.83,4.78,6.19,10,B
Capaz,2.61,7.47,4.34,5,B
Trabalho,4.47,6.38,5.51,8,B
Cocaína,6.13,2.45,6.51,7,B
Esquecimento,2.34,3.17,6.66,12,B
Tirânico,3.27,2.85,7.05,8,B
Cheirar,4.06,6.22,4.02,7,B
Bule,6.68,5.14,4.27,4,B
Linha,5.36,4.91,4.11,5,B
Cabra,6.44,4.29,4.42,5,B
Sorriso,5.02,8.14,2.65,7,B
Sombra,3.76,6.19,4.03,6,B
Pesadelo,2.84,1.93,7.8,8,B
Status,2.91,5.47,5.42,6,B
